Date,Open,High,Low,Close,Adj Close,Volume
1992-01-01,222.830002,226.029999,209.880005,210.380005,210.380005,932800
1992-02-01,210.380005,210.440002,203.240005,205.619995,205.619995,709700
1992-03-01,205.619995,206.179993,202.050003,205.619995,205.619995,631000
1992-04-01,205.619995,211.070007,200.179993,211.070007,211.070007,795100
1992-05-01,211.070007,214.820007,209.940002,213.449997,213.449997,657300
1992-06-01,213.449997,215.820007,209.190002,211.130005,211.130005,666400
1992-07-01,211.130005,225.589996,210.690002,225.399994,225.399994,834100
1992-08-01,225.399994,225.649994,217.009995,219.020004,219.020004,730300
1992-09-01,219.020004,222.399994,217.080002,220.580002,220.580002,739000
1992-10-01,220.580002,220.830002,214.380005,220.139999,220.139999,702200
1992-11-01,220.139999,220.889999,214.630005,218.699997,218.699997,687500
1992-12-01,218.699997,224.520004,215.949997,221.020004,221.020004,813000
1993-01-01,221.020004,226.839996,216.509995,226.589996,226.589996,641500
1993-02-01,226.589996,240.919998,226.460007,240.169998,240.169998,694900
1993-03-01,240.169998,242.429993,235.850006,241.490005,241.490005,728700
1993-04-01,241.490005,248.619995,237.789993,239.360001,239.360001,672100
1993-05-01,239.360001,243.179993,229.839996,238.360001,238.360001,682300
1993-06-01,238.360001,245.649994,238.169998,244.789993,244.789993,631300
1993-07-01,244.789993,250.990005,243.869995,250.000000,250.000000,617800
1993-08-01,250.000000,256.459991,249.470001,256.459991,256.459991,678400
1993-09-01,256.459991,256.660004,248.149994,249.800003,249.800003,693900
1993-10-01,249.740005,249.800003,237.350006,240.770004,240.770004,894800
1993-11-01,240.770004,241.169998,222.050003,225.350006,225.350006,1181000
1993-12-01,225.350006,231.940002,222.910004,229.300003,229.300003,1171000
1994-01-01,229.300003,234.229996,216.199997,226.009995,226.009995,967100
1994-02-01,226.009995,226.009995,206.830002,210.449997,210.449997,791400
1994-03-01,210.449997,214.009995,193.580002,196.279999,196.279999,1111400
1994-04-01,196.149994,202.539993,191.339996,199.380005,199.380005,896800
1994-05-01,199.380005,199.380005,176.580002,186.070007,186.070007,1072200
1994-06-01,186.070007,188.240005,175.449997,177.169998,177.169998,838300
1994-07-01,177.169998,187.449997,177.039993,186.399994,186.399994,614800
1994-08-01,186.399994,192.720001,186.070007,189.160004,189.160004,916300
1994-09-01,189.160004,189.160004,175.130005,181.449997,181.449997,1060700
1994-10-01,181.449997,185.850006,176.250000,181.389999,181.389999,1004000
1994-11-01,181.320007,181.320007,172.550003,179.539993,179.539993,952200
1994-12-01,179.479996,183.229996,176.509995,181.520004,181.520004,1036100
1995-01-01,181.649994,193.839996,181.520004,193.119995,193.119995,887100
1995-02-01,193.119995,196.740005,191.869995,193.910004,193.910004,839700
1995-03-01,193.910004,193.910004,184.949997,187.649994,187.649994,930500
1995-04-01,187.649994,194.960007,187.190002,194.500000,194.500000,609300
1995-05-01,194.440002,206.429993,192.460007,206.429993,206.429993,1040500
1995-06-01,206.100006,210.389999,201.029999,202.080002,202.080002,938400
1995-07-01,202.080002,204.520004,199.839996,203.990005,203.990005,816100
1995-08-01,203.990005,204.649994,200.169998,202.350006,202.350006,980900
1995-09-01,202.149994,215.330002,201.889999,214.279999,214.279999,875400
1995-10-01,214.210007,219.089996,213.619995,214.539993,214.539993,951400
1995-11-01,214.470001,217.369995,212.229996,215.789993,215.789993,979900
1995-12-01,215.789993,225.399994,215.330002,225.399994,225.399994,1035900
1996-01-01,225.330002,230.850006,223.729996,230.850006,230.850006,1164400
1996-02-01,230.919998,235.880005,218.699997,219.399994,219.399994,1207300
1996-03-01,219.529999,224.910004,210.380005,212.759995,212.759995,2264900
1996-04-01,212.830002,214.570007,204.020004,210.100006,210.100006,1405600
1996-05-01,210.029999,216.460007,203.740005,209.960007,209.960007,1327900
1996-06-01,209.889999,220.860001,206.050003,220.300003,220.300003,1235500
1996-07-01,220.300003,220.860001,203.320007,205.139999,205.139999,1076900
1996-08-01,205.070007,219.529999,204.860001,214.360001,214.360001,1283000
1996-09-01,214.289993,220.580002,212.270004,216.880005,216.880005,1095600
1996-10-01,216.809998,227.570007,216.809998,226.729996,226.729996,1318000
1996-11-01,226.729996,238.960007,225.960007,235.679993,235.679993,1011200
1996-12-01,235.610001,236.789993,226.029999,232.529999,232.529999,1410000
1997-01-01,232.669998,243.289993,229.110001,232.529999,232.529999,1722600
1997-02-01,232.529999,233.500000,225.960007,227.289993,227.289993,1355800
1997-03-01,227.289993,228.479996,217.160004,218.559998,218.559998,1348500
1997-04-01,218.699997,218.979996,208.979996,216.389999,216.389999,1326600
1997-05-01,216.529999,228.690002,214.570007,222.000000,222.000000,1508000
1997-06-01,222.050003,228.029999,219.559998,226.789993,226.789993,1773700
